เลขที่ใบส่งสินค้า,วันที่,รหัสบริษัท,รหัสพนักงาน,เลขที่ใบสั่งซื้อ
162/2547,2547-04-09,048,100,
7/15/1,2547-04-09,020,100,
92/4569/1,2547-04-09,012,100,
92/4573,2547-04-09,012,100,
76,2547-04-16,071,100,
85/4226,2547-04-20,012,100,
86/4225,2547-04-20,012,100,
12190/244,2547-04-21,048,100,
11/521,2547-04-26,003,100,
14/695/1,2547-04-26,008,100,
14/696/1,2547-04-26,008,100,
1/9,2547-05-04,012,100,
2/5,2547-05-04,020,100,
2/77,2547-05-11,012,100,
3/118,2547-05-11,012,100,
3/121/1,2547-05-11,012,100,
14/699,2547-05-12,008,100,
3/1/47,2547-05-13,070,100,
39222,2547-05-14,017,100,
12381/248,2547-05-21,048,100,
8/381,2547-05-21,012,100,
1/20/1,2547-05-31,008,100,
1/20/2,2547-05-31,056,100,
3/8,2547-05-31,040,100,
14/655,2547-06-01,012,100,
14/662,2547-06-01,012,100,
17/808,2547-06-04,012,100,
17/810,2547-06-04,012,100,
17/811,2547-06-04,012,100,
35/100,2547-06-04,035,100,
53/2613,2547-06-04,054,100,
13/649,2547-06-07,012,100,
17/848,2547-06-09,012,100,
17/849,2547-06-09,012,100,
12596/252,2547-06-11,048,100,
4/5/1,2547-06-14,040,100,
15/716,2547-06-15,008,100,
15/717,2547-06-15,008,100,
21/1027,2547-06-15,012,100,
4/4,2547-06-22,020,100,
11/52,2547-06-24,035,100,
25/1201,2547-06-24,012,100,
27/1310,2547-06-26,012,100,
1/10,2547-06-28,047,100,
24/1180,2547-06-28,012,100,
26/1281,2547-07-07,012,100,
26/1282,2547-07-07,012,100,
8/45,2547-07-07,040,100,
213/470706,2547-07-12,017,100,
213/470715,2547-07-12,017,100,
33/1620,2547-07-12,012,100,
30/1482,2547-07-13,012,100,
122,2547-07-19,074,100,
37/1835,2547-07-21,012,100,
1656,2547-07-23,064,100,
17/48,2547-07-23,048,100,
34/1693,2547-07-23,012,100,
38/1851,2547-07-23,012,100,
38/1852,2547-07-23,012,100,
8/4,2547-07-23,020,100,
16/783,2547-07-27,008,100,
38/1891,2547-07-27,012,100,
บช.564/281,2557-09-26,012,203,
สข.1/25,2557-10-01,076,203,1/25
สข.1/26,2557-10-01,076,203,1/26
สข.1/23,2557-10-02,076,203,1/23
สข.1/27,2557-10-06,076,203,
บช.565/282,2557-10-07,012,203,
สข.1/28,2557-10-07,076,203,
สข.66/06,2557-10-08,077,203,
565/28250,2557-10-14,012,203,
566/28276,2557-10-15,012,203,
568/28362,2557-10-21,012,203,
สข.1/30,2557-10-27,076,203,
สข.13/614,2557-10-27,078,203,
1/31,2557-10-28,076,203,
013/0612,2557-10-31,012,203,
570/28461,2557-11-05,012,203,
สข.1/32,2557-11-05,076,203,
สข.014/067,2557-11-06,066,203,
571/28534,2557-11-11,012,203,
571/28536,2557-11-11,012,203,
บช.571/285,2557-11-11,012,203,
572/28589,2557-11-17,012,203,
สข.047/57,2557-11-17,079,203,
สข.049/57,2557-11-17,079,203,
สข.1/36,2557-11-17,076,203,
สข.57/743,2557-11-17,075,203,
574/28666,2557-11-18,012,203,
574/28668,2557-11-18,012,203,
575/28724,2557-11-27,012,203,
สข.1/37,2557-12-02,076,203,
578/028877,2557-12-08,012,203,
578/28870,2557-12-08,012,203,
578/28877,2557-12-08,012,203,
578/28896,2557-12-11,012,203,
สข.1/40,2557-12-16,076,203,
งส.30/31,2558-01-27,080,203,
590/29489,2558-02-02,012,203,
5446753666,2558-03-05,081,203,
598/29854,2558-03-13,012,203,
58/232,2558-04-01,075,203,
601/30029,2558-04-09,012,203,
602/30066,2558-04-20,012,203,
09/04,2558-05-15,082,203,
สข.76/04,2558-05-29,077,203,
สข.1/43,2558-07-07,076,203,
สข.09/07,2558-07-16,082,203,
สข.1/46,2558-07-16,076,203,
สข.1/47,2558-07-28,076,203,
สข.58/522,2558-07-28,067,203,
สข.78/23,2558-08-05,082,203,
003/0111,2558-08-11,012,203,
626/31293,2558-08-18,012,203,
629/31405,2558-08-25,012,203,
สข.1/4,2559-01-19,020,203,
656/32775,2559-01-21,012,203,
003/1648,2559-01-28,066,203,
014/026,2559-02-09,082,203,
007/59,2559-02-10,079,203,
0100/065,2560-11-01,082,203,
1/56,2560-11-02,020,203,
1/57,2560-11-02,020,203,
1/58,2560-11-02,020,203,
1/59,2560-11-02,020,203,
1/60,2560-11-02,020,203,
89/1,2560-12-04,087,203,
083/4132,2560-12-06,012,203,
1/67,2560-12-06,020,203,
1/68,2560-12-06,020,203,
1/69,2560-12-06,020,203,
1/70,2560-12-06,020,203,
1/71,2560-12-06,020,203,
1/72,2560-12-06,020,203,
1/74,2560-12-06,020,203,
1/75,2560-12-13,020,203,
108/21,2560-12-19,077,203,
108/22,2560-12-19,077,203,
091/4502,2560-12-20,012,203,
108/23,2560-12-21,077,203,
108/24,2560-12-21,077,203,
1/09,2560-12-26,020,203,
1/8,2560-12-26,020,203,
092/4560,2560-12-28,012,203,
1/012,2560-12-28,020,203,
1/13,2560-12-28,020,203,
2/11,2560-12-28,020,203,
066/3257,2561-01-05,084,203,
101/090,2561-01-05,082,203,
6101/002,2561-01-05,083,203,
6101/003,2561-01-05,083,203,
iv60122714,2561-01-05,085,203,
058/60,2561-01-11,079,203,
072/60,2561-01-11,079,203,
601203321,2561-01-11,086,203,
091/4504,2561-01-15,012,203,
091/4507,2561-01-15,012,203,
สข.1/04,2561-01-15,076,203,
สข.1/3,2561-01-15,076,203,
6011/016,2561-01-19,083,203,
6012/017,2561-01-19,083,203,
095/4702,2561-01-22,012,203,
095/4716,2561-01-25,012,203,
1/6,2561-01-25,076,203,
สข.1/5,2561-01-25,076,203,
สข.1/7,2561-01-25,076,203,
110/002,2561-01-29,077,203,
110/01,2561-01-29,077,203,
110/02,2561-01-29,077,203,
110/03,2561-01-29,077,203,
110/04,2561-01-29,077,203,
1/010,2561-01-30,076,203,
1/011,2561-01-30,076,203,
1/11,2561-01-30,076,203,
